JUDUL,KATEGORI,tokens,stemmed
ppp konflik di ancol padam di kuningan,Politik,"['ppp', 'konflik', 'ancol', 'padam', 'kuningan']",ppp konflik ancol padam kuningan
adu jotos muktamar partai kabah,Politik,"['adu', 'jotos', 'muktamar', 'partai', 'kabah']",adu jotos muktamar partai kabah
melihat ketahanan otoritarianisme demokratis,Politik,"['ketahanan', 'otoritarianisme', 'demokratis']",tahan otoritarianisme demokratis
ekonomi politik seafood,Politik,"['ekonomi', 'politik', 'seafood']",ekonomi politik seafood
jokowi kumpul dengan elite psi di bali beri instruksi ini,Politik,"['jokowi', 'kumpul', 'elite', 'psi', 'bali', 'instruksi']",jokowi kumpul elite psi bal instruksi
rasionalitas pemilih indonesia,Politik,"['rasionalitas', 'pemilih', 'indonesia']",rasionalitas pilih indonesia
momen petinggi parpol non parlemen kumpul di kediaman oso,Politik,"['momen', 'petinggi', 'parpol', 'non', 'parlemen', 'kumpul', 'kediaman', 'oso']",momen petinggi parpol non parlemen kumpul diam oso
pakai sarungpeci kaesang sowan ke cak imin di dpp pkb,Politik,"['pakai', 'sarungpeci', 'kaesang', 'sowan', 'cak', 'imin', 'dpp', 'pkb']",pakai sarungpeci kaesang sowan cak imin dpp pkb
relawan prabowogibran penuhi stadion gelora delta sidoarjo,Politik,"['relawan', 'prabowogibran', 'penuhi', 'stadion', 'gelora', 'delta', 'sidoarjo']",rawan prabowogibran penuh stadion gelora delta sidoarjo
begini situasi kampanye akbar ganjar pranowo di gor delta sidoarjo,Politik,"['situasi', 'kampanye', 'akbar', 'ganjar', 'pranowo', 'gor', 'delta', 'sidoarjo']",situasi kampanye akbar ganjar pranowo gor delta sidoarjo
giliran nelayan brebes yang curhat ke ganjar,Politik,"['giliran', 'nelayan', 'brebes', 'curhat', 'ganjar']",gilir nelayan brebes curhat ganjar
cerita marshel kapok terjun politik tanpa izin istri,Politik,"['cerita', 'marshel', 'kapok', 'terjun', 'politik', 'izin', 'istri']",cerita marshel kapok terjun politik izin istri
marshel widianto kapok gak izin cesen terjun ke politik,Politik,"['marshel', 'widianto', 'kapok', 'gak', 'izin', 'cesen', 'terjun', 'politik']",marshel widianto kapok gak izin cesen terjun politik
 nama caketum ppp mencuat mardiono agus suparmanto husnan bey fananie,Politik,"['nama', 'caketum', 'ppp', 'mencuat', 'mardiono', 'agus', 'suparmanto', 'husnan', 'bey', 'fananie']",nama caketum ppp cuat mardiono agus suparmanto husnan bey fananie
reformasi dan kosmetik politik,Politik,"['reformasi', 'kosmetik', 'politik']",reformasi kosmetik politik
budaya reshuffle ala prabowo,Politik,"['budaya', 'reshuffle', 'ala', 'prabowo']",budaya reshuffle ala prabowo
mendepak banteng dari kabinet,Politik,"['mendepak', 'banteng', 'kabinet']",depak banteng kabinet
akhir kisah cerita seorang pendengung,Politik,"['kisah', 'cerita', 'pendengung']",kisah cerita dengung
menetralisir geng solo,Politik,"['menetralisir', 'geng', 'solo']",menetralisir geng solo
kisah di balik reshuffle,Politik,"['kisah', 'reshuffle']",kisah reshuffle
venna melinda ungkap penyebab verrel kurus kepikiran situasi politik,Politik,"['venna', 'melinda', 'penyebab', 'verrel', 'kurus', 'kepikiran', 'situasi', 'politik']",venna melinda sebab verrel kurus pikir situasi politik
verrell bramasta lebih kurus venna melinda syok hadapi dinamika politik,Politik,"['verrell', 'bramasta', 'kurus', 'venna', 'melinda', 'syok', 'hadapi', 'dinamika', 'politik']",verrell bramasta kurus venna melinda syok hadap dinamika politik
sby kuasa dan pergulatan nilai,Politik,"['sby', 'kuasa', 'pergulatan', 'nilai']",sby kuasa gulat nilai
